PROGRAM_CODES,n,pct
"CAANFRP, CAANSPSM, CAAOTH, CAASIP",20,0
"CAANSPS, CAANSR, CAAPSD, CAATVP",20,0
"CAAAR, CAAMACT, CAANSPS, CAAOTH, CAASIP, CAATVP",19,0
"CAAAR, CAANSPS, CAARMP, CAASIP, CAATVP",19,0
"CAAFESOP, CAAGACTM, CAANSPS",19,0
"CAAFESOP, CAAMACT, CAANESH, CAANSPS, CAAPSD, CAASIP, CAATVP",19,0
"CAAFESOP, CAAMACT, CAANESH, CAAPSD",19,0
"CAAFESOP, CAAMACT, CAANESH, CAASIP",19,0
"CAAFESOP, CAANSPS, CAAOTH",19,0
"CAAMACT, CAANSPS, CAANSR, CAAOTH, CAASIP, CAATVP",19,0
"CAAMACT, CAAOTH, CAASIP",19,0
"CAANESH, CAANSR, CAASIP, CAATVP",19,0
"CAAAR, CAANESH, CAANSPS, CAASIP, CAATVP",18,0
"CAAFESOP, CAANSPSM",18,0
"CAAGACTM, CAANSPS, CAAPSD, CAASIP",18,0
"CAAMACT, CAANSPSM",18,0
"CAANAM, CAATVP",18,0
"CAAFIP, CAAMACT, CAANSPS, CAAPSD, CAASIP, CAATVP",17,0
"CAAGACTM, CAAGHG, CAANSPS, CAASIP, CAATVP",17,0
"CAAGACTM, CAAMACT, CAANESH, CAATVP",17,0
"CAAGACTM, CAANESH, CAANSR, CAATVP",17,0
"CAAMACT, CAAOTH, CAATVP",17,0
"CAACFC, CAANSPS, CAANSR, CAASIP, CAATVP",16,0
"CAAFESOP, CAANESH",16,0
"CAAGACTM, CAANESH, CAANSPSM, CAASIP",16,0
"CAAGHG, CAANSPS, CAAPSD, CAASIP, CAATVP",16,0
"CAAMACT, CAANAM, CAANSPS, CAATVP",16,0
"CAAMACT, CAANSPSM, CAAOTH",16,0
CAANSP,16,0
CAASFP,16,0
"CAAAR, CAAMACT, CAANESH, CAANSPS, CAASIP, CAATVP",15,0
"CAACFC, CAAGACTM, CAAMACT, CAANSR, CAAPARGDC, CAASIP, CAATVP",15,0
"CAACFC, CAANESH, CAASIP",15,0
"CAAFESOP, CAANSPS, CAATVP",15,0
"CAAFIP, CAASIP",15,0
"CAAGACTM, CAAGHG, CAANSPS, CAAPSD, CAASIP, CAATVP",15,0
